,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
A1,0.0,24.0,36.0,72.0,18.0,60.0,30.0,18.0,48.0,12.0
A2,24.0,0.0,30.0,60.0,36.0,54.0,42.0,12.0,36.0,18.0
A3,36.0,30.0,0.0,78.0,48.0,84.0,12.0,36.0,66.0,30.0
A4,72.0,60.0,78.0,0.0,60.0,24.0,84.0,54.0,18.0,66.0
A5,18.0,36.0,48.0,60.0,0.0,48.0,42.0,30.0,42.0,24.0
A6,60.0,54.0,84.0,24.0,48.0,0.0,78.0,48.0,30.0,54.0
A7,30.0,42.0,12.0,84.0,42.0,78.0,0.0,36.0,60.0,24.0
A8,18.0,12.0,36.0,54.0,30.0,48.0,36.0,0.0,30.0,18.0
A9,48.0,36.0,66.0,18.0,42.0,30.0,60.0,30.0,0.0,42.0
A10,12.0,18.0,30.0,66.0,24.0,54.0,24.0,18.0,42.0,0.0
