id,name,type,open_start,open_end,min_time,comfort_time,preference,effective_open_start,effective_open_end,open_duration_h,congestion_overlap_h,congestion_sensitivity,visit_suitability,hotel_commute_h,hotel_commute_min,type_code,cluster_id,priority_level
A1,古城老街,人文古迹,8,17.5,2.0,3.5,8.6,8.0,17.5,9.5,1.0,1.0,0.75,0.5,30.0,0,0,中优先级
A2,海洋乐园,主题游乐,9,18.0,3.0,5.0,9.2,9.0,18.0,9.0,0.0,0.0,0.0,0.8,48.0,1,1,高优先级
A3,滨海浴场,休闲度假,0,24.0,1.0,3.0,7.5,8.0,22.0,14.0,1.0,1.0,1.0,0.3,18.0,2,0,中优先级
A4,森林公园,自然山林,8,17.0,3.5,4.5,8.0,8.0,17.0,9.0,1.0,1.0,0.25,1.5,90.0,3,2,低优先级
A5,民俗古村,人文乡村,8,17.5,2.0,3.0,7.2,8.0,17.5,9.5,1.0,1.0,1.0,0.6,36.0,4,0,中优先级
A6,山野溪谷,自然徒步,8,17.0,3.0,4.0,7.8,8.0,17.0,9.0,1.0,1.0,0.5,1.2,72.0,5,2,低优先级
A7,环湖湿地,生态休闲,0,24.0,1.5,2.5,6.8,8.0,22.0,14.0,1.0,1.0,0.75,0.4,24.0,6,0,中优先级
A8,亲子农庄,亲子休闲,9,18.0,2.0,3.0,8.3,9.0,18.0,9.0,0.0,0.0,1.0,0.7,42.0,7,1,高优先级
A9,山地观景台,自然观景,8,17.5,1.5,2.5,7.0,8.0,17.5,9.5,1.0,1.0,0.75,1.0,60.0,8,0,中优先级
A10,文创小镇,人文休闲,9,20.0,2.0,3.0,7.6,9.0,20.0,11.0,0.0,0.0,1.0,0.5,30.0,9,1,高优先级
