spot_i,spot_j,name_i,name_j,commute_h,commute_min,linkage_level,comfort_time_sum_h,avg_preference,avg_congestion_resilience,linkage_score
A2,A8,海洋乐园,亲子农庄,0.2,12.0,强联动,8.0,8.75,1.0,0.8450000000000001
A2,A10,海洋乐园,文创小镇,0.3,18.0,强联动,8.0,8.399999999999999,1.0,0.7633333333333332
A1,A2,古城老街,海洋乐园,0.4,24.0,强联动,8.5,8.899999999999999,0.5,0.7399999999999998
A8,A10,亲子农庄,文创小镇,0.3,18.0,强联动,6.0,7.95,1.0,0.7216666666666667
A1,A8,古城老街,亲子农庄,0.3,18.0,强联动,6.5,8.45,0.5,0.7216666666666666
A1,A10,古城老街,文创小镇,0.2,12.0,强联动,6.5,8.1,0.5,0.6866666666666666
A2,A3,海洋乐园,滨海浴场,0.5,30.0,强联动,8.0,8.35,0.5,0.6333333333333333
A5,A8,民俗古村,亲子农庄,0.5,30.0,强联动,6.0,7.75,0.5,0.5666666666666668
A1,A5,古城老街,民俗古村,0.3,18.0,强联动,6.5,7.9,0.0,0.5550000000000002
A8,A9,亲子农庄,山地观景台,0.5,30.0,强联动,5.5,7.65,0.5,0.5416666666666667
A3,A10,滨海浴场,文创小镇,0.5,30.0,强联动,6.0,7.55,0.5,0.5333333333333334
A5,A10,民俗古村,文创小镇,0.4,24.0,强联动,6.0,7.4,0.5,0.5316666666666668
A4,A6,森林公园,山野溪谷,0.4,24.0,强联动,8.5,7.9,0.0,0.49833333333333346
A7,A10,环湖湿地,文创小镇,0.4,24.0,强联动,5.5,7.199999999999999,0.5,0.48999999999999994
A1,A7,古城老街,环湖湿地,0.5,30.0,强联动,6.0,7.699999999999999,0.0,0.4833333333333333
A4,A9,森林公园,山地观景台,0.3,18.0,强联动,7.0,7.5,0.0,0.4800000000000001
A3,A7,滨海浴场,环湖湿地,0.2,12.0,强联动,5.5,7.15,0.0,0.4533333333333335
A6,A9,山野溪谷,山地观景台,0.5,30.0,强联动,6.5,7.4,0.0,0.42500000000000016
A2,A5,海洋乐园,民俗古村,0.6,36.0,弱联动,8.0,8.2,0.5,0.585
A2,A9,海洋乐园,山地观景台,0.6,36.0,弱联动,7.5,8.1,0.5,0.5766666666666667
A3,A8,滨海浴场,亲子农庄,0.6,36.0,弱联动,6.0,7.9,0.5,0.5683333333333335
A2,A6,海洋乐园,山野溪谷,0.9,54.0,弱联动,9.0,8.5,0.5,0.5483333333333335
A2,A7,海洋乐园,环湖湿地,0.7,42.0,弱联动,7.5,8.0,0.5,0.5366666666666668
A2,A4,海洋乐园,森林公园,1.0,60.0,弱联动,9.5,8.6,0.5,0.5333333333333334
A6,A8,山野溪谷,亲子农庄,0.8,48.0,弱联动,7.0,8.05,0.5,0.5300000000000002
A4,A8,森林公园,亲子农庄,0.9,54.0,弱联动,7.5,8.15,0.5,0.5150000000000001
A1,A3,古城老街,滨海浴场,0.6,36.0,弱联动,6.5,8.05,0.0,0.5100000000000002
A7,A8,环湖湿地,亲子农庄,0.6,36.0,弱联动,5.5,7.550000000000001,0.5,0.5016666666666669
A6,A10,山野溪谷,文创小镇,0.9,54.0,弱联动,7.0,7.699999999999999,0.5,0.44833333333333325
A9,A10,山地观景台,文创小镇,0.7,42.0,弱联动,5.5,7.3,0.5,0.43666666666666676
A1,A9,古城老街,山地观景台,0.8,48.0,弱联动,6.0,7.8,0.0,0.43000000000000005
A1,A6,古城老街,山野溪谷,1.0,60.0,弱联动,7.5,8.2,0.0,0.425
A5,A6,民俗古村,山野溪谷,0.8,48.0,弱联动,7.0,7.5,0.0,0.3633333333333334
A3,A5,滨海浴场,民俗古村,0.8,48.0,弱联动,6.0,7.35,0.0,0.355
A5,A9,民俗古村,山地观景台,0.7,42.0,弱联动,5.5,7.1,0.0,0.32833333333333337
A4,A5,森林公园,民俗古村,1.0,60.0,弱联动,7.5,7.6,0.0,0.325
A5,A7,民俗古村,环湖湿地,0.7,42.0,弱联动,5.5,7.0,0.0,0.31166666666666676
A7,A9,环湖湿地,山地观景台,1.0,60.0,弱联动,5.0,6.9,0.0,0.21666666666666676
A4,A10,森林公园,文创小镇,1.1,66.0,不推荐,7.5,7.8,0.5,0.41000000000000003
A1,A4,古城老街,森林公园,1.2,72.0,不推荐,8.0,8.3,0.0,0.38666666666666694
A3,A4,滨海浴场,森林公园,1.3,78.0,不推荐,7.5,7.75,0.0,0.2800000000000001
A3,A9,滨海浴场,山地观景台,1.1,66.0,不推荐,5.5,7.25,0.0,0.26
A3,A6,滨海浴场,山野溪谷,1.4,84.0,不推荐,7.0,7.65,0.0,0.24833333333333352
A6,A7,山野溪谷,环湖湿地,1.3,78.0,不推荐,6.5,7.3,0.0,0.22166666666666668
A4,A7,森林公园,环湖湿地,1.4,84.0,不推荐,7.0,7.4,0.0,0.20666666666666683
