景点ID,景点名称,TOPSIS贴近度,喜好度_raw,适配度_raw,通勤成本_raw,拥堵敏感度_raw,优先级
A8,亲子农庄,0.7729882408003246,8.3,1.0,0.7,0.0,高优先级
A2,海洋乐园,0.7541363045607452,9.2,0.0,0.8,0.0,高优先级
A10,文创小镇,0.6478470459081668,7.6,1.0,0.5,0.0,高优先级
A1,古城老街,0.44255234355536316,8.6,0.75,0.5,1.0,中优先级
A3,滨海浴场,0.3324144745961629,7.5,1.0,0.3,1.0,中优先级
A4,森林公园,0.288968685564257,8.0,0.25,1.5,1.0,中优先级
A5,民俗古村,0.2881109846843216,7.2,1.0,0.6,1.0,中优先级
A6,山野溪谷,0.27797054739208177,7.8,0.5,1.2,1.0,低优先级
A7,环湖湿地,0.23781415350688173,6.8,0.75,0.4,1.0,低优先级
A9,山地观景台,0.21112096061202892,7.0,0.75,1.0,1.0,低优先级
