景点i,景点j,车程(h),联动得分
A1,A3,0.6,0.65
A2,A5,0.6,0.575
A1,A9,0.8,0.5666666666666667
A2,A9,0.6,0.5666666666666667
A3,A8,0.6,0.5583333333333335
A1,A6,1.0,0.5583333333333333
A2,A6,0.9,0.5333333333333333
A2,A7,0.7,0.525
A6,A8,0.8,0.5166666666666668
A2,A4,1.0,0.5166666666666667
A4,A8,0.9,0.5000000000000002
A5,A6,0.8,0.5000000000000001
A7,A8,0.6,0.49166666666666675
A3,A5,0.8,0.4916666666666667
A5,A9,0.7,0.4666666666666667
A4,A5,1.0,0.4583333333333334
A5,A7,0.7,0.45000000000000007
A6,A10,0.9,0.43333333333333335
A9,A10,0.7,0.42500000000000004
A7,A9,1.0,0.35
