扰动指标,扰动幅度,Spearman秩相关系数,最大名次变化
喜好度,-0.2,0.9272727272727272,3.0
喜好度,-0.1,0.9878787878787878,1.0
喜好度,0.0,0.9999999999999999,0.0
喜好度,0.10000000000000003,0.9757575757575757,1.0
喜好度,0.2,0.9757575757575757,1.0
适配度,-0.2,0.9757575757575757,1.0
适配度,-0.1,0.9757575757575757,1.0
适配度,0.0,0.9999999999999999,0.0
适配度,0.10000000000000003,0.9878787878787878,1.0
适配度,0.2,0.9878787878787878,1.0
通勤成本,-0.2,0.9999999999999999,0.0
通勤成本,-0.1,0.9999999999999999,0.0
通勤成本,0.0,0.9999999999999999,0.0
通勤成本,0.10000000000000003,0.9878787878787878,1.0
通勤成本,0.2,0.9878787878787878,1.0
拥堵敏感度,-0.2,0.9999999999999999,0.0
拥堵敏感度,-0.1,0.9999999999999999,0.0
拥堵敏感度,0.0,0.9999999999999999,0.0
拥堵敏感度,0.10000000000000003,0.9878787878787878,1.0
拥堵敏感度,0.2,0.9878787878787878,1.0
