日期,环节,地点,开始时间,结束时间,耗时h
第1天,起床早餐与整装,酒店,07:00,08:30,1.5
第1天,酒店至景点通勤,酒店->A1,08:30,09:00,0.5
第1天,景点游览,A1,09:00,12:30,3.5
第1天,午餐,途中/景区周边,12:30,13:30,1.0
第1天,景点间通勤,A1->A5,13:30,13:48,0.3
第1天,景点游览,A5,13:48,16:48,3.0
第1天,返程至酒店,A5->酒店,16:48,17:24,0.6
第2天,起床早餐与整装,酒店,07:00,08:30,1.5
第2天,酒店至景点通勤,酒店->A6,08:30,09:42,1.2
第2天,景点游览,A6,09:42,13:42,4.0
第2天,返程至酒店,A6->酒店,13:42,14:54,1.2
第2天,正餐,酒店/周边,14:54,15:54,1.0
第3天,起床早餐与整装,酒店,07:00,08:30,1.5
第3天,酒店至景点通勤,酒店->A3,08:30,08:48,0.3
第3天,景点游览,A3,08:48,11:48,3.0
第3天,午餐,途中/景区周边,11:48,12:48,1.0
第3天,景点间通勤,A3->A7,12:48,13:00,0.2
第3天,景点游览,A7,13:00,15:30,2.5
第3天,返程至酒店,A7->酒店,15:30,15:54,0.4
第4天,起床早餐与整装,酒店,07:00,08:30,1.5
第4天,酒店至景点通勤,酒店->A10,08:30,09:00,0.5
第4天,景点游览,A10,09:00,12:00,3.0
第4天,午餐,途中/景区周边,12:00,13:00,1.0
第4天,景点间通勤,A10->A8,13:00,13:18,0.3
第4天,景点游览,A8,13:18,16:18,3.0
第4天,返程至酒店,A8->酒店,16:18,17:00,0.7
第5天,起床早餐与整装,酒店,07:00,08:30,1.5
第5天,酒店至景点通勤,酒店->A2,08:30,09:18,0.8
第5天,景点游览,A2,09:18,14:18,5.0
第5天,返程至酒店,A2->酒店,14:18,15:06,0.8
第5天,正餐,酒店/周边,15:06,16:06,1.0
