方案编号,是否最终基准方案,优选景点数,优选景点,优选景点名称,总喜好度,TOPSIS总贴近度,总行车时间min,日均行车时间min,日耗时方差,综合筛选得分
P1,是,8,A1、A5、A6、A3、A7、A10、A8、A2,古城老街、民俗古村、山野溪谷、滨海浴场、环湖湿地、文创小镇、亲子农庄、海洋乐园,63.0,3.7538340950040476,468.0,93.6,0.3864000000000008,0.8236893247591501
P2,否,8,A7、A8、A1、A5、A2、A6、A10、A3,环湖湿地、亲子农庄、古城老街、民俗古村、海洋乐园、山野溪谷、文创小镇、滨海浴场,63.0,3.7538340950040476,504.0,100.8,0.28560000000000085,0.7975024874298923
P3,否,8,A8、A5、A1、A10、A2、A7、A3、A4,亲子农庄、民俗古村、古城老街、文创小镇、海洋乐园、环湖湿地、滨海浴场、森林公园,63.2,3.764832233176223,510.0,102.0,0.3399999999999996,0.7946589389850449
P4,否,8,A8、A5、A7、A3、A1、A10、A2、A4,亲子农庄、民俗古村、环湖湿地、滨海浴场、古城老街、文创小镇、海洋乐园、森林公园,63.2,3.7648322331762234,510.0,102.0,0.3399999999999996,0.7946589389850449
P5,否,8,A9、A8、A3、A7、A2、A6、A1、A10,山地观景台、亲子农庄、滨海浴场、环湖湿地、海洋乐园、山野溪谷、古城老街、文创小镇,62.800000000000004,3.6768440709317547,498.0,99.6,0.37039999999999956,0.7936516683770484
P6,否,8,A7、A3、A10、A5、A1、A9、A8、A2,环湖湿地、滨海浴场、文创小镇、民俗古村、古城老街、山地观景台、亲子农庄、海洋乐园,62.2,3.686984508223995,432.0,86.4,1.2903999999999995,0.7914686723789793
P7,否,8,A10、A1、A7、A5、A8、A3、A4、A2,文创小镇、古城老街、环湖湿地、民俗古村、亲子农庄、滨海浴场、森林公园、海洋乐园,63.2,3.764832233176223,546.0,109.2,0.15759999999999913,0.7723963860509857
P8,否,8,A10、A1、A7、A5、A8、A3、A2、A4,文创小镇、古城老街、环湖湿地、民俗古村、亲子农庄、滨海浴场、海洋乐园、森林公园,63.2,3.764832233176223,546.0,109.2,0.15759999999999913,0.7723963860509857
P9,否,8,A10、A5、A1、A3、A7、A8、A9、A2,文创小镇、民俗古村、古城老街、滨海浴场、环湖湿地、亲子农庄、山地观景台、海洋乐园,62.2,3.6869845082239947,426.0,85.2,1.9335999999999995,0.7657084915275768
P10,否,8,A10、A3、A9、A8、A2、A4、A7、A1,文创小镇、滨海浴场、山地观景台、亲子农庄、海洋乐园、森林公园、环湖湿地、古城老街,62.99999999999999,3.68784220910393,570.0,114.0,0.13999999999999943,0.7476080902148341
