日期,日结束时间,道路延误h,排队延误h,游览不达标,当日超时,当日达标,薄弱事件,模拟编号
第1天,15.9,0.0,0.0,False,False,True,无,1
第2天,19.96128077663248,2.9612807766324827,0.0,False,False,True,无,1
第3天,16.1,0.0,0.0,False,False,True,无,1
第4天,21.66936526964138,3.0985913537909897,2.6707739158503907,False,True,False,第4天返程超时,1
第5天,20.746380353057088,2.6394903892154056,0.7068899638416831,True,False,False,第5天-A1游览风险,1
第1天,17.957869382893538,1.1138469573210343,0.9440224255725042,False,False,True,无,2
第2天,17.0,0.0,0.0,False,False,True,无,2
第3天,20.802065932890738,2.6784567242312116,2.023609208659524,False,False,True,无,2
第4天,15.899999999999999,0.0,0.0,False,False,True,无,2
第5天,17.432346028556132,0.0,0.03234602855613444,False,False,True,无,2
第1天,19.257448851081175,3.2552941514851823,0.10215469959599033,False,False,True,无,3
第2天,19.99038414709275,0.0,2.9903841470927524,False,False,True,无,3
第3天,16.444503347879127,0.34450334787912645,0.0,False,False,True,无,3
第4天,17.29055625288112,1.3905562528811235,0.0,False,False,True,无,3
第5天,23.18333346475206,2.832922573644649,2.950410891107411,True,True,False,第5天-A1游览风险；第5天返程超时,3
第1天,19.940143188736634,4.040143188736634,0.0,False,False,True,无,4
第2天,17.630185304835965,0.0,0.6301853048359664,False,False,True,无,4
第3天,21.780082401541485,2.6897655639818936,2.9903168375595883,True,True,False,第3天-A2游览风险；第3天返程超时,4
第4天,19.692695405119697,1.6577914525548296,2.1349039525648683,True,False,False,第4天-A6游览风险,4
第5天,18.44983651988624,1.0498365198862403,0.0,True,False,False,第5天-A1游览风险,4
第1天,20.517574436474607,2.444437014778556,2.1731374216960497,False,False,True,无,5
第2天,19.632763834293687,0.0,2.632763834293688,False,False,True,无,5
第3天,17.42162081852304,1.3216208185230371,0.0,False,False,True,无,5
第4天,18.165046925412888,2.2650469254128893,0.0,False,False,True,无,5
第5天,19.116101919720222,1.7161019197202199,0.0,True,False,False,第5天-A1游览风险,5
第1天,20.7589966440713,3.94553985888111,0.9134567851901888,False,False,True,无,6
