是否达标,失败原因,游览约束达标,返程约束达标,道路总延误h,排队总延误h,失败日期,模拟编号
False,both,False,False,8.699362519638878,3.377663879692074,第4天、第5天,1
True,none,True,True,3.792303681552246,2.9999776627881625,无,2
False,both,False,False,7.823276325890081,6.042949737796153,第5天,3
False,both,False,False,9.437536725159598,5.755406094960422,第3天、第4天、第5天,4
False,queue,False,True,7.7472066784347025,4.805901255989738,第5天,5
True,none,True,True,10.001660046265727,2.6684280721323415,无,6
False,queue,False,True,9.761567115239604,1.8231620352240934,第5天,7
False,both,False,False,4.739953039483438,5.767197632382863,第5天,8
True,none,True,True,8.526891381560521,0.713478232718536,无,9
False,queue,False,True,3.9563136612685392,1.8421791293579957,第5天,10
False,queue,False,True,6.246839106527123,2.6656942925095883,第4天,11
False,both,False,False,7.081814710581665,8.692646011910405,第5天,12
False,both,False,False,12.152609712011646,5.5552165076521405,第1天、第5天,13
False,both,False,False,9.068542043695919,1.9604358837031097,第2天、第5天,14
True,none,True,True,7.310121783298675,3.231406674871832,无,15
False,queue,False,True,4.051364231602909,4.805396240653959,第5天,16
False,both,False,False,12.273903885009219,0.0,第3天、第5天,17
False,traffic,True,False,5.144833625825434,3.636412784855994,第5天,18
False,both,False,False,8.163576076943336,4.778229632886665,第2天、第5天,19
False,both,False,False,6.9790712608931385,8.438552866191177,第2天、第3天、第5天,20
False,queue,False,True,3.6022104295220476,3.0354259907689913,第2天、第5天,21
False,traffic,True,False,5.7865845055861005,5.132987708916625,第1天,22
False,both,False,False,9.749376498349136,5.359782097957996,第5天,23
False,both,False,False,12.16029320148623,0.0,第5天,24
False,both,False,False,8.908374143729528,5.412739273534443,第3天、第5天,25
False,queue,False,True,5.491993295863795,4.688814847580973,第5天,26
True,none,True,True,5.816344952870252,4.341580031735435,无,27
False,queue,False,True,3.2140809658598757,5.2638215673373,第5天,28
False,queue,False,True,8.2408331236783,2.8392170487266277,第5天,29
False,both,False,False,14.878758597847137,4.658434248586909,第3天、第4天、第5天,30
False,both,False,False,9.136152899162886,1.2510188039151406,第5天,31
False,both,False,False,12.678253829631979,3.3350102386565084,第5天,32
False,queue,False,True,6.599672506048561,0.08594271934298991,第5天,33
False,both,False,False,9.324688173625313,7.86937492628255,第3天、第5天,34
