模拟次数,累计可靠度
100,0.12
200,0.105
300,0.09666666666666666
400,0.115
500,0.12
600,0.12666666666666668
700,0.12714285714285714
800,0.12125
900,0.12777777777777777
1000,0.133
1100,0.13545454545454547
1200,0.13416666666666666
1300,0.13538461538461538
1400,0.13357142857142856
1500,0.13266666666666665
1600,0.133125
1700,0.13411764705882354
1800,0.13277777777777777
1900,0.13210526315789473
2000,0.132
2100,0.13285714285714287
2200,0.13363636363636364
2300,0.13391304347826086
2400,0.13208333333333333
2500,0.13
2600,0.13
2700,0.12777777777777777
2800,0.13
2900,0.1296551724137931
3000,0.12833333333333333
3100,0.12838709677419355
3200,0.128125
3300,0.12787878787878787
3400,0.1288235294117647
3500,0.128
3600,0.13027777777777777
3700,0.1318918918918919
3800,0.13026315789473683
3900,0.12897435897435897
4000,0.1275
4100,0.1278048780487805
4200,0.12833333333333333
4300,0.1283720930232558
4400,0.12886363636363637
4500,0.12933333333333333
4600,0.12956521739130436
4700,0.12978723404255318
4800,0.12895833333333334
4900,0.13
5000,0.1302
5100,0.12941176470588237
5200,0.1296153846153846
5300,0.1311320754716981
5400,0.13092592592592592
5500,0.13036363636363638
5600,0.13053571428571428
5700,0.13105263157894737
5800,0.13017241379310346
5900,0.13084745762711864
6000,0.13116666666666665
6100,0.13049180327868853
6200,0.13016129032258064
6300,0.13047619047619047
6400,0.13
6500,0.13046153846153846
6600,0.13196969696969696
6700,0.13208955223880597
6800,0.1325
6900,0.13231884057971013
7000,0.13228571428571428
7100,0.13253521126760565
7200,0.1326388888888889
7300,0.13273972602739725
7400,0.1316216216216216
7500,0.13253333333333334
7600,0.13236842105263158
7700,0.13194805194805195
7800,0.1321794871794872
7900,0.1320253164556962
8000,0.132
8100,0.1325925925925926
8200,0.13219512195121952
8300,0.13204819277108434
8400,0.13214285714285715
8500,0.13270588235294117
8600,0.13244186046511627
8700,0.1317241379310345
8800,0.13227272727272726
8900,0.13179775280898876
9000,0.1312222222222222
9100,0.1312087912087912
9200,0.13065217391304348
9300,0.1310752688172043
9400,0.13095744680851062
9500,0.13094736842105262
9600,0.130625
9700,0.13072164948453607
9800,0.13071428571428573
9900,0.1304040404040404
10000,0.13
