日期,环节,地点,开始时间,结束时间,耗时h,base_start,base_end,base_dur,spot_id,min_visit_h,close_h,traffic_period,queue_period,is_commute,is_visit
第1天,起床早餐与整装,酒店,07:00,08:30,1.5,7.0,8.5,1.5,,0.0,24.0,高峰,平峰,False,False
第1天,酒店至景点通勤,酒店->A7,08:30,08:54,0.4,8.5,8.9,0.4,,0.0,24.0,高峰,平峰,True,False
第1天,景点游览,A7,08:54,11:24,2.5,8.9,11.4,2.5,A7,1.5,22.0,高峰,平峰,False,True
第1天,午餐,途中/景区周边,11:24,12:24,1.0,11.4,12.4,1.0,,0.0,24.0,高峰,高峰,False,False
第1天,景点间通勤,A7->A3,12:24,12:36,0.2,12.4,12.6,0.2,,0.0,24.0,高峰,平峰,True,False
第1天,景点游览,A3,12:36,15:36,3.0,12.6,15.6,3.0,A3,1.0,22.0,高峰,平峰,False,True
第1天,返程至酒店,A3->酒店,15:36,15:54,0.3,15.6,15.9,0.3,,0.0,24.0,平峰,平峰,True,False
第2天,起床早餐与整装,酒店,07:00,08:30,1.5,7.0,8.5,1.5,,0.0,24.0,高峰,平峰,False,False
第2天,酒店至景点通勤,酒店->A8,08:30,09:12,0.7,8.5,9.2,0.7,,0.0,24.0,高峰,平峰,True,False
第2天,景点游览,A8,09:12,12:12,3.0,9.2,12.2,3.0,A8,2.0,18.0,平峰,高峰,False,True
第2天,午餐,途中/景区周边,12:12,13:12,1.0,12.2,13.2,1.0,,0.0,24.0,高峰,平峰,False,False
第2天,景点间通勤,A8->A10,13:12,13:30,0.3,13.2,13.5,0.3,,0.0,24.0,平峰,平峰,True,False
第2天,景点游览,A10,13:30,16:30,3.0,13.5,16.5,3.0,A10,2.0,20.0,平峰,平峰,False,True
第2天,返程至酒店,A10->酒店,16:30,17:00,0.5,16.5,17.0,0.5,,0.0,24.0,高峰,平峰,True,False
第3天,起床早餐与整装,酒店,07:00,08:30,1.5,7.0,8.5,1.5,,0.0,24.0,高峰,平峰,False,False
第3天,酒店至景点通勤,酒店->A2,08:30,09:18,0.8,8.5,9.3,0.8,,0.0,24.0,高峰,平峰,True,False
第3天,景点游览,A2,09:18,14:18,5.0,9.3,14.3,5.0,A2,3.0,18.0,平峰,高峰,False,True
第3天,返程至酒店,A2->酒店,14:18,15:06,0.8,14.3,15.1,0.8,,0.0,24.0,平峰,平峰,True,False
第3天,正餐,酒店/周边,15:06,16:06,1.0,15.1,16.1,1.0,,0.0,24.0,平峰,平峰,False,False
第4天,起床早餐与整装,酒店,07:00,08:30,1.5,7.0,8.5,1.5,,0.0,24.0,高峰,平峰,False,False
第4天,酒店至景点通勤,酒店->A6,08:30,09:42,1.2,8.5,9.7,1.2,,0.0,24.0,高峰,平峰,True,False
第4天,景点游览,A6,09:42,13:42,4.0,9.7,13.7,4.0,A6,3.0,17.0,平峰,高峰,False,True
第4天,返程至酒店,A6->酒店,13:42,14:54,1.2,13.7,14.9,1.2,,0.0,24.0,平峰,平峰,True,False
第4天,正餐,酒店/周边,14:54,15:54,1.0,14.9,15.9,1.0,,0.0,24.0,平峰,平峰,False,False
第5天,起床早餐与整装,酒店,07:00,08:30,1.5,7.0,8.5,1.5,,0.0,24.0,高峰,平峰,False,False
第5天,酒店至景点通勤,酒店->A5,08:30,09:06,0.6,8.5,9.1,0.6,,0.0,24.0,高峰,平峰,True,False
第5天,景点游览,A5,09:06,12:06,3.0,9.1,12.1,3.0,A5,2.0,17.5,平峰,高峰,False,True
第5天,午餐,途中/景区周边,12:06,13:06,1.0,12.1,13.1,1.0,,0.0,24.0,高峰,平峰,False,False
第5天,景点间通勤,A5->A1,13:06,13:24,0.3,13.1,13.4,0.3,,0.0,24.0,平峰,平峰,True,False
第5天,景点游览,A1,13:24,16:54,3.5,13.4,16.9,3.5,A1,2.0,17.5,平峰,平峰,False,True
第5天,返程至酒店,A1->酒店,16:54,17:24,0.5,16.9,17.4,0.5,,0.0,24.0,高峰,平峰,True,False
