id,name,type,preference_norm,visit_suitability_norm,hotel_commute_norm,congestion_resilience_norm,open_duration_norm,priority_input_score
A1,古城老街,人文古迹,0.7500000000000001,0.75,0.8333333333333334,0.0,0.1,0.5833333333333334
A2,海洋乐园,主题游乐,1.0,0.0,0.5833333333333334,1.0,0.0,0.6458333333333334
A3,滨海浴场,休闲度假,0.2916666666666668,1.0,1.0,0.0,1.0,0.5729166666666667
A4,森林公园,自然山林,0.5000000000000002,0.25,0.0,0.0,0.0,0.18750000000000006
A5,民俗古村,人文乡村,0.16666666666666685,1.0,0.75,0.0,0.1,0.47916666666666674
A6,山野溪谷,自然徒步,0.41666666666666674,0.5,0.25,0.0,0.0,0.2916666666666667
A7,环湖湿地,生态休闲,0.0,0.75,0.9166666666666666,0.0,1.0,0.41666666666666663
A8,亲子农庄,亲子休闲,0.6250000000000006,1.0,0.6666666666666666,1.0,0.0,0.8229166666666667
A9,山地观景台,自然观景,0.08333333333333343,0.75,0.4166666666666667,0.0,0.1,0.31250000000000006
A10,文创小镇,人文休闲,0.3333333333333333,1.0,0.8333333333333334,1.0,0.4,0.7916666666666666
