,酒店,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
酒店,0.0,0.5,0.8,0.3,1.5,0.6,1.2,0.4,0.7,1.0,0.5
A1,0.5,0.0,0.4,0.6,1.2,0.3,1.0,0.5,0.3,0.8,0.2
A2,0.8,0.4,0.0,0.5,1.0,0.6,0.9,0.7,0.2,0.6,0.3
A3,0.3,0.6,0.5,0.0,1.3,0.8,1.4,0.2,0.6,1.1,0.5
A4,1.5,1.2,1.0,1.3,0.0,1.0,0.4,1.4,0.9,0.3,1.1
A5,0.6,0.3,0.6,0.8,1.0,0.0,0.8,0.7,0.5,0.7,0.4
A6,1.2,1.0,0.9,1.4,0.4,0.8,0.0,1.3,0.8,0.5,0.9
A7,0.4,0.5,0.7,0.2,1.4,0.7,1.3,0.0,0.6,1.0,0.4
A8,0.7,0.3,0.2,0.6,0.9,0.5,0.8,0.6,0.0,0.5,0.3
A9,1.0,0.8,0.6,1.1,0.3,0.7,0.5,1.0,0.5,0.0,0.7
A10,0.5,0.2,0.3,0.5,1.1,0.4,0.9,0.4,0.3,0.7,0.0
